Timestamp,Contestant,Activity,Resource,Quantity,Location
2025-07-02T02:15:00,Charlie,Searched,Water,6,East
2025-07-02T02:30:00,Null,Did Nothing,None,0,Unknown
2025-07-02T02:45:00,Denise,Built,Shelter,1,Camp
2025-07-02T03:00:00,Alice,Fished,Fish,2,South
2025-07-02T03:15:00,Bob,Argued with Alice,Drama,7,Camp
2025-07-02T03:30:00,Charlie,Collected,Fruit,3,West
2025-07-02T03:45:00,Denise,Searched,Water,5,North
2025-07-02T04:00:00,Alice,Built,Shelter,2,Camp
2025-07-02T04:15:00,Bob,Fished,Fish,4,South
2025-07-02T04:30:00,Charlie,Searched,Water,3,West
2025-07-02T04:45:00,Null,Did Nothing,None,0,Unknown
2025-07-02T05:00:00,Denise,Argued with Charlie,Drama,6,Camp
2025-07-02T05:15:00,Alice,Collected,Fruit,3,East
2025-07-02T05:30:00,Bob,Searched,Water,7,North
2025-07-02T05:45:00,Charlie,Fished,Fish,2,South
2025-07-02T06:00:00,Denise,Built,Shelter,1,Camp
2025-07-02T06:15:00,Alice,Argued with Bob,Drama,4,Camp
2025-07-02T06:30:00,Bob,Collected,Fruit,3,West
2025-07-02T06:45:00,Charlie,Searched,Water,5,East
2025-07-02T07:00:00,Null,Did Nothing,None,0,Unknown
2025-07-02T07:15:00,Denise,Fished,Fish,4,South
2025-07-02T07:30:00,Alice,Searched,Water,6,North
2025-07-02T07:45:00,Bob,Built,Shelter,2,Camp
2025-07-02T08:00:00,Charlie,Argued with Alice,Drama,7,Camp
